CantidadDeBeneficiarios,CantidadBeneficioConsolidado,CantidadUltimobeneficio,CodigoDepartamentoAtencion,CodigoMunicipioAtencion,CondicionSexual,Discapacidad,EstadoBeneficiario,EstadoCivil,Etnia,FechaInscripcionBeneficiario,FechaUltimoBeneficioAsignado,Genero,NivelEscolaridad,NombreDepartamentoAtencion,NombreMunicipioAtencion,Pais,RangoEdad,TipoAsignacionBeneficio,TipoBeneficio,TipoDocumento,TipoPoblacion,ValorBeneficioConsolidadoAsignado,ValorUltimoBeneficioAsignado
1,1,1,19,19001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,ND,2022-01-01,1900-01-01,Hombre,Técnico o tecnológico (),CAUCA,POPAYÁN,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,18,18753,Heterosexual,NO,ATENDIDO,Unión libre,ND,2019-01-01,2021-01-01,Mujer,Media (o  o),CAQUETA,SAN VICENTE DEL CAGUÁN,Colombia,30-49,ADMINISTRATIVO Y OPERATIVO,ADMINISTRATIVO Y OPERATIVO,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,2,2,27,27001,Heterosexual,SI,VINCULADOINSCRITO,Unión libre,AFROCOLOMBIANO - NEGRO,2022-01-01,1900-01-01,Mujer,Básica primaria (o.  o.),CHOCO,QUIBDÓ,Colombia,50-65,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,54,54001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),ND,2022-01-01,1900-01-01,Mujer,Básica primaria (o.  o.),NORTE DE SANTANDER,CÚCUTA,Colombia,30-49,ND,ND,CC,NO REGISTRADO,0 - 1.500.000,0 - 1.300.000
1,1,1,41,41298,Heterosexual,NO,ATENDIDO,Unión libre,ND,2019-01-01,2021-01-01,Mujer,Media (o  o),HUILA,GARZÓN,Colombia,30-49,ADMINISTRATIVO Y OPERATIVO,ADMINISTRATIVO Y OPERATIVO,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,19,19698,Heterosexual,NO,ATENDIDO,Soltero(a),ND,2019-01-01,2021-01-01,Mujer,Media (o  o),CAUCA,SANTANDER DE QUILICHAO,Colombia,30-49,ADMINISTRATIVO Y OPERATIVO,ADMINISTRATIVO Y OPERATIVO,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
1,1,1,19,19698,Heterosexual,NO,ATENDIDO,Soltero(a),ND,2019-01-01,2021-01-01,Mujer,Media (o  o),CAUCA,SANTANDER DE QUILICHAO,Colombia,30-49,ADMINISTRATIVO Y OPERATIVO,ADMINISTRATIVO Y OPERATIVO,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
1,1,1,52,52001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),ND,2022-01-01,1900-01-01,Mujer,Básica Secundaria (o  o),NARIÑO,PASTO,Colombia,18-29,ND,ND,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
1,2,2,19,19001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,ND,2022-01-01,1900-01-01,Mujer,Básica primaria (o.  o.),CAUCA,POPAYÁN,Colombia,50-65,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,2,2,54,54001,No responde,NO,VINCULADOINSCRITO,Unión libre,ND,2022-01-01,1900-01-01,Mujer,Media (o  o),NORTE DE SANTANDER,CÚCUTA,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
